"","core","stockwc","maxd","stock","stock_se"
"70","CP2",0.129664984950905,40.8163265306122,0.309216618438098,0.00194753848870046
"71","CP3",0.13165546173389,40.4040404040404,0.31190785602812,0.00314450627533411
"72","CR B-R1",0.140153538525907,30,0.481521844911639,0.00448628749668728
"73","CR B-R2",0.128683171652574,30,0.428411489157392,0.00169964865546095
"74","CR B-R3",0.133702596539183,30,0.440823067778751,0.00383242451691648
"75","CR E-R1",0.124206381576549,30,0.407419360144805,0.00163613126912623
"76","CR E-R2",0.123617535081919,30,0.416511474474593,0.00447749093451212
"77","CR E-R3",0.141477954659277,30,0.481488507140102,0.00861729279352764
"78","CR I-R1",0.107767841117066,30,0.381481107097038,0.00182619246562598
"79","CR I-R2",0.131845611709537,30,0.447589241743134,0.00473616578384147
"80","CR I-R3",0.130013773912464,30,0.460747079171954,0.0142847627031267
"81","DE.I-A",1.36419841295259,151.551170807084,0.908841339503359,NA
"82","DE.I-B",1.34673798415648,94.1098317094774,1.48474752194064,0.0110952505257444
"83","DE.I-C",1.61140598533552,97.9088601474677,1.75512212935176,0.0204092193490462
"84","DE.I-D",2.0503133004058,166.74386289949,1.42778074149984,NA
"85","Encanyissada",1.55798891519677,65,2.27937482672242,0.325857404689444
"86","EP-02",0.313211315004037,29.40867555929,0.973685821530701,0.0646472174136582
"87","EP05",3.27277727966875,106.024096385542,3.12324297745782,NA
"88","ERMS T. ",0.597237794964141,60,1.03067156338744,0.0635901630079421
"89","EST 1",1.47604703456396,72.9166666666667,2.10153447755908,0.059516532378187
"90","EST 2",1.39694092766452,119.205298013245,1.22656327275904,NA
"91","EST 5",1.17213051211362,70.9219858156028,1.60794310524575,0.0235264514026931
"92","FR1",0.86888969561344,104.676923077245,0.848614772438078,NA
"93","FR3",1.82852677471156,118.60714285566,1.56731262851804,NA
"94","FR5",1.47862631812895,147.5,1.17017788476266,NA
"95","FR6",1.73760616881698,136.740740737449,1.41597000265606,NA
"96","GA B-R1",0.162367495871138,30,0.54151946438037,0.0143559148081472
"97","GA B-R2",0.14876109776201,30,0.486942056127037,0.00338570375050446
"98","GA B-R3",0.267389433488178,30,0.794989041460824,0.0205041281312974
"99","GA E-R1",0.167489825999677,30,0.531359686504753,0.00658276972852522
"100","GA E-R2",0.203283610955853,30,0.635103515308833,0.00290565910183495
"101","GA E-R3",0.195734145896786,30,0.649292824721476,0.00406921642437652
"102","GA I-R1",0.165223185028613,30,0.550827355453207,0.00342384966641791
"103","GA I-R2",0.1414900367911,30,0.477717134991336,0.00586537227831857
"104","GA I-R3",0.206153561949762,30,0.669008771867048,0.0135471119856983
"105","GRAM1",0.321670787741165,96.0163432073544,0.345363479940761,0.00356506111511227
"106","GRAM11",0.385188469047088,100.908173562059,0.3823242506209,NA
"107","GRAM12",0.385732993458084,105.050505050845,0.367480623991917,NA
"108","GRAM13",0.401199175319079,103.883495145621,0.388315013967706,NA
"109","GRAM14",0.338097322907426,102.941176470437,0.328549881656644,NA
"110","GRAM15",0.298773727179653,100.969696970125,0.296038675222585,NA
"111","GRAM2",0.400296071801072,105.102040816327,0.386880857237957,NA
"112","GRAM26",0.420773384623973,112.869198312236,0.387159732875784,NA
"113","GRAM27",0.408319522140803,115.424973767051,0.360233199814285,NA
"114","GRAM28",0.473195423926399,116.666666666667,0.426516294375243,NA
"115","GRAM29",0.40385544264444,110.042735042735,0.37974950115238,NA
"116","GRAM3",0.319038228966386,81.9672131147541,0.384840545464673,0.023553408545199
"117","GRAM30",0.425347215093887,107.991360691145,0.405564280917483,NA
"118","GRAM36",0.559370918912733,103.999999999834,0.546493627172604,NA
"119","GRAM37",0.51234540935135,98.9130434782609,0.550984207858171,0.0127123235571251
"120","GRAM38",0.413541591229009,89.0909090882769,0.498581549311613,0.0156170456183266
"121","GRAM39",0.503733032077949,97.0430107527925,0.570231753602052,0.0183971169726901
"122","GRAM4",0.293070383791584,80,0.374086304553865,0.00289871324629678
"123","GRAM40",0.55077966562273,90.0537634408602,0.568867292849929,0.0202662136608453
"124","GRAM41",1.94083041431349,127.371273712737,1.24103177020287,NA
"125","GRAM42",1.99939124430238,131.934032983508,1.2703504119893,NA
"126","GRAM43",1.73446457391999,103.355704697987,1.62303095879996,NA
"127","GRAM44",2.05212495447811,122.784810126582,1.31791746254671,NA
"128","GRAM45",1.06524142592813,114.247311827957,0.996047236121195,NA
"129","GRAM46",0.279435339898492,98.8888888888889,0.288598419357696,0.00231568256339243
"130","GRAM47",0.346381676655477,98.9583333333333,0.342013138020729,0.00294774320400704
"131","GRAM48",0.354047395972451,103.085106383088,0.343627810478422,NA
"132","GRAM49",0.32563589866222,96.9791666671314,0.348175704690715,0.00355327167763822
"133","GRAM5",0.269416826498661,88.0245649948823,0.305803211827813,0.00170261142001885
"134","GRAM50",0.306529170603651,101.718749999523,0.301761451750264,NA
"135","IP1",0.0670978264017923,40.8163265306122,0.167577949061731,0.00140820358176147
"136","IP2",0.0882314030216,40.4040404040404,0.230048094430548,0.00324294030065257
"137","IP3",0.0663647827985306,40.4040404040404,0.170694931104426,0.00212537880627264
"138","LM1",0.298348637585721,79.2316926770708,0.360263602602567,0.0154799712432174
"139","LM2",0.820760123703573,116.686114352392,0.710307904547781,NA
