Site ID;Sample ID;Ecosystem;Specie;Tissue;TOC
NPCB-CLICA_Sc;ES_2_VDE5_B;Salt Marsh;Sarcocornia;Aboveground;32.76811329
NPCB-CLICA_Sc;ES_2_VDE5_B;Salt Marsh;Sarcocornia;Aboveground;23.4346295
NPCB-CLICA_Sc;ES_2_VDE5_B;Salt Marsh;Sarcocornia;Aboveground;25.09242507
NPCB-BOLI_Sm;ES_1_VDE3_D;Salt Marsh;Spartina maritima;Aboveground;39.61911627
NPCB-CLICA_Sc;ES_2_VDE7_B;Salt Marsh;Sarcocornia;Aboveground;30.54960324
NPCB-CLICA_Sc;ES_2_VDE5_C;Salt Marsh;Sarcocornia;Aboveground;29.81793558
NPCB-CLICA_Sc;ES_2_VDE5_C;Salt Marsh;Sarcocornia;Aboveground;27.86286955
NPCB-BOLI_Sc;ES_1_VDE12_D;Salt Marsh;Sarcocornia;Aboveground;29.91443375
MB_Cadiz;MB_Cadiz;Salt Marsh;Salicornia;Aboveground;38.59
MM_Cadiz;MM_Cadiz;Salt Marsh;Sarcocornia;Aboveground;39.58
MA_Cadiz;MA_Cadiz;Salt Marsh;Limoniastrum monopetalum;Aboveground;43.88
MMD_Cadiz;MMD_Cadiz;Salt Marsh;Sarcocornia;Aboveground;43.62
Ria de Aveiro - 1_J;Ria de Aveiro - 1_J_1;Salt Marsh;Juncus;Aboveground;40.419
Ria de Aveiro - 1_J;Ria de Aveiro - 1_J_2;Salt Marsh;Juncus;Aboveground;40.419
Ria de Aveiro - 1_J;Ria de Aveiro - 1_J_3;Salt Marsh;Juncus;Aboveground;40.419
Ria de Aveiro - 1_J;Ria de Aveiro - 1_J_4;Salt Marsh;Juncus;Aboveground;40.727
Ria de Aveiro - 1_J;Ria de Aveiro - 1_J_5;Salt Marsh;Juncus;Aboveground;40.727
Ria de Aveiro - 1_J;Ria de Aveiro - 1_J_6;Salt Marsh;Juncus;Aboveground;40.727
Ria de Aveiro - 1_J;Ria de Aveiro - 1_J_7;Salt Marsh;Juncus;Aboveground;41.1175
Ria de Aveiro - 1_J;Ria de Aveiro - 1_J_8;Salt Marsh;Juncus;Aboveground;41.1175
Ria de Aveiro - 1_J;Ria de Aveiro - 1_J_9;Salt Marsh;Juncus;Aboveground;41.1175
Ria de Aveiro - 1_J;Ria de Aveiro - 1_J_10;Salt Marsh;Juncus;Aboveground;40.3705
Ria de Aveiro - 1_J;Ria de Aveiro - 1_J_11;Salt Marsh;Juncus;Aboveground;40.3705
Ria de Aveiro - 1_J;Ria de Aveiro - 1_J_12;Salt Marsh;Juncus;Aboveground;40.3705
Ria de Aveiro - 1_J;Ria de Aveiro - 1_J_13;Salt Marsh;Juncus;Aboveground;40.4845
Ria de Aveiro - 1_J;Ria de Aveiro - 1_J_14;Salt Marsh;Juncus;Aboveground;40.4845
Ria de Aveiro - 1_J;Ria de Aveiro - 1_J_15;Salt Marsh;Juncus;Aboveground;40.4845
Ria de Aveiro - 1_J;Ria de Aveiro - 1_J_16;Salt Marsh;Juncus;Aboveground;41.4535
Ria de Aveiro - 1_J;Ria de Aveiro - 1_J_17;Salt Marsh;Juncus;Aboveground;41.4535
Ria de Aveiro - 1_J;Ria de Aveiro - 1_J_18;Salt Marsh;Juncus;Aboveground;41.4535
Ria de Aveiro - 2_J;Ria de Aveiro - 2_J_19;Salt Marsh;Juncus;Aboveground;40.3255
Ria de Aveiro - 2_J;Ria de Aveiro - 2_J_20;Salt Marsh;Juncus;Aboveground;40.3255
Ria de Aveiro - 2_J;Ria de Aveiro - 2_J_21;Salt Marsh;Juncus;Aboveground;40.3255
Ria de Aveiro - 2_J;Ria de Aveiro - 2_J_22;Salt Marsh;Juncus;Aboveground;40.199
Ria de Aveiro - 2_J;Ria de Aveiro - 2_J_23;Salt Marsh;Juncus;Aboveground;40.199
Ria de Aveiro - 2_J;Ria de Aveiro - 2_J_24;Salt Marsh;Juncus;Aboveground;40.199
Ria de Aveiro - 2_J;Ria de Aveiro - 2_J_25;Salt Marsh;Juncus;Aboveground;41.886
Ria de Aveiro - 2_J;Ria de Aveiro - 2_J_26;Salt Marsh;Juncus;Aboveground;41.886
Ria de Aveiro - 2_J;Ria de Aveiro - 2_J_27;Salt Marsh;Juncus;Aboveground;41.886
Ria de Aveiro - 2_J;Ria de Aveiro - 2_J_28;Salt Marsh;Juncus;Aboveground;42.2665
Ria de Aveiro - 2_J;Ria de Aveiro - 2_J_29;Salt Marsh;Juncus;Aboveground;42.2665
Ria de Aveiro - 2_J;Ria de Aveiro - 2_J_30;Salt Marsh;Juncus;Aboveground;42.2665
Ria de Aveiro - 2_J;Ria de Aveiro - 2_J_31;Salt Marsh;Juncus;Aboveground;40.3695
Ria de Aveiro - 2_J;Ria de Aveiro - 2_J_32;Salt Marsh;Juncus;Aboveground;40.3695
Ria de Aveiro - 2_J;Ria de Aveiro - 2_J_33;Salt Marsh;Juncus;Aboveground;40.3695
Ria de Aveiro - 2_J;Ria de Aveiro - 2_J_34;Salt Marsh;Juncus;Aboveground;43.019
Ria de Aveiro - 2_J;Ria de Aveiro - 2_J_35;Salt Marsh;Juncus;Aboveground;43.019
Ria de Aveiro - 2_J;Ria de Aveiro - 2_J_36;Salt Marsh;Juncus;Aboveground;43.019
Ria de Aveiro - 3_J;Ria de Aveiro - 3_J_37;Salt Marsh;Juncus;Aboveground;40.2365
Ria de Aveiro - 3_J;Ria de Aveiro - 3_J_38;Salt Marsh;Juncus;Aboveground;40.2365
Ria de Aveiro - 3_J;Ria de Aveiro - 3_J_39;Salt Marsh;Juncus;Aboveground;40.2365
Ria de Aveiro - 3_J;Ria de Aveiro - 3_J_40;Salt Marsh;Juncus;Aboveground;43.04
Ria de Aveiro - 3_J;Ria de Aveiro - 3_J_41;Salt Marsh;Juncus;Aboveground;43.04
